39.849,33,32,2560,11190
39.580,38,31,2952,11410
41.150,24,32,2807,11315
41.139,28,31,2926,11557
40.429,31,27,3055,11655
40.811,32,35,2903,10636
41.135,28,25,2873,11836
41.368,31,31,2955,10854
39.729,27,27,2808,11793
40.626,31,29,2958,11446
41.141,27,30,2965,10897
39.089,27,30,2943,11462
40.817,33,36,2794,11283
41.163,34,35,2921,10725
39.734,30,32,2995,10659
39.627,28,25,2921,11765
41.438,27,25,2929,10780
40.986,26,31,2563,10790
40.002,27,31,3018,11550
40.462,29,36,2638,11106
41.161,36,33,2785,11861
41.485,37,27,2854,11699
41.404,27,31,2650,11077
40.217,31,32,3011,10976
40.149,31,32,2881,11360
40.743,24,38,2751,10633
41.037,31,29,2780,11744
40.817,27,35,2652,11302
41.195,34,37,3073,11505
41.579,28,30,2658,10763
40.776,38,36,2587,11597
41.124,36,32,2554,10811
40.958,38,37,2589,10922
41.232,37,31,2854,11852
40.456,33,26,2618,10912
40.170,37,32,2879,11203
41.389,26,29,2534,10761
39.821,24,30,2949,11487
41.356,33,26,2823,11455
41.048,32,34,2615,11864
40.496,37,39,3048,10902
39.284,30,28,2902,10962
41.504,31,32,2604,11412
41.264,33,26,2522,11856
41.492,27,25,2858,10987
40.439,26,32,3055,11775
40.361,37,33,2632,11677
41.113,29,36,2898,11716
41.367,38,25,2577,10609
39.063,28,32,2899,11600
41.540,36,30,2865,11249
41.470,32,25,2800,11416
41.460,37,39,2692,10743
39.510,36,29,2849,11002
39.963,35,39,3042,11286
41.223,26,27,2689,11467
40.419,26,26,2607,11550
40.804,28,29,2559,11249
41.403,35,28,2942,10780
40.874,36,35,3056,11189
39.794,33,35,2607,11183
38.853,29,28,2600,10844
41.453,33,38,2899,11082
38.888,30,30,2692,11312
40.718,32,27,2863,11918
41.126,30,35,2638,10778
39.269,26,32,2899,11538
40.954,28,32,2727,10617
41.557,26,29,2950,11693
40.810,29,39,2844,11272
40.359,30,26,2927,10656
39.313,33,35,3043,10940
40.811,30,37,2818,11590
41.495,37,39,3022,11653
41.015,24,33,2863,11585
40.586,36,32,2925,10842
40.407,27,39,2847,11055
40.354,26,30,3025,11114
40.197,38,38,2732,11572
40.278,36,36,2618,10862
40.015,35,29,2746,10613
39.336,26,39,3074,11263
41.487,28,33,3062,10673
39.152,30,38,2770,11098
39.915,26,33,2628,11600
40.536,25,31,3011,11096
38.864,29,37,2726,11852
40.453,26,30,2994,11554
41.609,38,39,2532,10784
40.205,32,26,2530,11073
40.274,38,35,2990,11076
39.585,36,32,2579,11758
41.449,31,32,2768,11148
39.714,24,33,2866,11839
40.975,37,31,2893,11112
39.809,35,36,2731,11850
41.514,25,37,2830,11272
41.604,35,35,2675,11748
41.377,36,34,2835,11294
40.885,24,33,2600,11532
40.989,30,39,2689,11587
41.232,25,33,2592,10717
40.944,32,36,2710,11459
40.988,31,32,2608,11555
40.286,38,32,2914,10677
39.063,32,25,3010,11632
41.043,26,37,2859,10719
40.774,37,36,2578,11212
41.147,26,36,2714,11357
40.805,30,35,2604,11603
41.151,28,31,3042,11628
40.974,25,26,2946,11414
41.466,24,28,2587,11773
40.705,33,25,3040,11493
41.251,25,28,2695,10799
41.226,29,28,2674,11055
39.723,24,30,2921,11240
38.844,27,39,2702,10838
41.576,36,29,3035,10751
41.188,36,35,2891,11704
40.691,26,29,2695,11853
41.212,33,39,2761,11264
41.384,30,35,2562,11195
39.483,38,31,2796,11291
40.672,32,32,2555,10689
40.616,34,36,2645,10634
41.523,33,26,2939,11356
41.514,36,32,2718,11756
40.726,31,33,2660,11788
40.849,36,27,2936,11064
40.267,31,35,2705,11589
41.184,31,28,2557,11225
41.131,31,37,2793,10782
40.268,26,29,2780,11598
40.316,26,35,2773,11850
40.665,30,35,2742,11010
41.202,26,38,2599,10835
40.459,29,28,3002,11826
41.148,33,36,3007,11628
40.302,29,37,2636,10713
41.115,38,27,2834,11245
41.055,33,34,2574,10675
41.390,32,34,2623,11158
40.981,29,32,2670,11657
41.171,37,34,2608,11665
40.403,26,37,3027,11859
40.457,29,33,2972,11628
41.041,32,31,2721,11413
41.400,24,39,2844,11738
40.821,32,38,2641,11497
41.366,35,35,2875,11324
40.879,33,26,2596,11613
40.917,28,33,2805,10994
38.957,38,34,2753,11293
40.768,31,25,2924,10916
41.360,26,37,2858,11025
39.954,29,33,2656,10758
40.867,26,32,2560,11653
40.710,31,31,2568,11830
40.675,31,26,3005,11176
39.450,31,32,2823,10804
39.306,24,26,2560,11594
40.891,27,36,2696,11130
40.676,36,34,2915,11501
40.366,38,26,2909,11117
40.494,26,34,2836,11267
41.168,27,34,2802,10831
39.242,26,30,3006,11316
40.543,36,35,2891,11910
40.686,25,35,2708,11455
41.314,25,36,2952,11620
41.290,31,38,2952,11638
40.627,33,37,3077,10946
40.846,24,39,2814,11258
40.541,27,29,2524,11397
40.877,31,34,2924,11074
41.354,38,26,2570,11787
40.886,33,29,3080,10877
38.991,31,32,2663,11122
40.650,37,25,3050,10864
39.069,28,28,2971,11099
39.962,34,37,3039,10761
39.603,34,27,2894,10767
41.104,36,35,2960,11368
40.867,24,27,2593,11286
41.405,29,31,2818,10831
41.601,31,33,2796,11647
41.419,30,27,2918,10834
40.704,36,39,2677,11321
41.123,33,26,2860,11808
41.068,27,26,3004,11897
41.242,31,34,2966,11748
40.770,27,27,2683,11692
40.471,28,38,2592,11307
41.246,31,28,2804,10974
39.679,28,32,2583,11717
41.370,27,29,2928,11910
40.750,35,35,2820,11451
41.352,38,34,2655,10861
40.007,24,37,2580,11256
41.429,32,34,2823,11870
41.054,24,33,3003,11196
40.393,28,27,2663,11866
40.292,38,32,2701,11305
40.943,38,28,3062,10743
41.477,31,30,2884,11873
40.647,35,34,2758,11787
41.161,30,36,2916,10729
39.642,25,33,3002,10670
